grade,func,step
100,4,4
99,4,4
98,3.99,4
97,3.98,4
96,3.97,3.94
95,3.95,3.94
94,3.93,3.94
93,3.91,3.94
92,3.88,3.85
91,3.85,3.85
90,3.81,3.85
89,3.77,3.73
88,3.73,3.73
87,3.68,3.73
86,3.63,3.55
85,3.58,3.55
84,3.52,3.55
83,3.46,3.55
82,3.39,3.32
81,3.32,3.32
80,3.25,3.32
79,3.17,3.09
78,3.09,3.09
77,3.01,3.09
76,2.92,2.78
75,2.83,2.78
74,2.73,2.78
73,2.63,2.78
72,2.53,2.42
71,2.42,2.42
70,2.31,2.42
69,2.2,2.08
68,2.08,2.08
67,1.96,2.08
66,1.83,1.63
65,1.7,1.63
64,1.57,1.63
63,1.43,1.63
62,1.29,1.15
61,1.15,1.15
60,1,1.15
59,0.85,0
58,0.69,0
57,0.53,0
56,0.37,0
55,0.2,0
54,0.03,0
53,0,0
52,0,0
51,0,0
50,0,0
49,0,0
48,0,0
47,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
26,0,0
25,0,0
24,0,0
23,0,0
22,0,0
21,0,0
20,0,0
19,0,0
18,0,0
17,0,0
16,0,0
15,0,0
14,0,0
13,0,0
12,0,0
11,0,0
10,0,0
9,0,0
8,0,0
7,0,0
6,0,0
5,0,0
4,0,0
3,0,0
2,0,0
1,0,0
0,0,0
通过,通过,通过
不通过,不通过,不通过
